2018-01-06 13:14:20.3795 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:20.5895 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:20.7095 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:20.8195 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:20.9295 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:21.0395 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:21.1595 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:21.2795 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:15:08.2367 ERROR  Session [SessionKey[6ced1424-0083-403c-9704-5e4474dcb080], RemoteEndPoint[192.168.1.4:47444], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 13:15:08.3868 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 13:15:08.6168 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 13:39:12.6978 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:Timeout 时间已到。在操作完成之前超时时间已过或服务器未响应。 
2018-01-06 13:42:35.7952 ERROR  Session [SessionKey[dc75e7d2-a633-429a-939a-152d5f5bd03a], RemoteEndPoint[192.168.1.4:48178], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 13:42:35.8653 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 13:42:36.0853 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 13:44:01.5318 ERROR  Session [SessionKey[7654087d-20e0-4f5c-8de3-9ec68878c4a2], RemoteEndPoint[192.168.1.4:48284], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 13:44:01.5918 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 13:44:01.7918 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
